raw/gen/rollout/ep_rew_mean,raw/gen/time/iterations,raw/gen/time/fps,raw/gen/time/time_elapsed,raw/gen/rollout/ep_len_mean,raw/gen/time/total_timesteps,raw/gen/train/entropy_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/clip_fraction,raw/gen/train/policy_gradient_loss,raw/gen/train/std,raw/gen/train/learning_rate,raw/gen/train/loss,raw/gen/train/value_loss,raw/gen/train/clip_range,raw/gen/train/approx_kl,raw/gen/train/explained_variance,raw/gen/train/n_updates
-197.50453906329113,1,429,4,1000.0,79872,-7.683383350074291,330.4984886432082,0.180908203125,-0.028254856946296057,0.8720245361328125,0.0003,0.23997612297534943,1.0851643592119218,0.2,0.0137047935,0.9696912113577127,380
-196.4427174691358,1,433,4,1000.0,81920,-7.681202366948128,325.18338418038655,0.124853515625,-0.027806124417111278,0.8728126287460327,0.0003,1.0234237909317017,6.419133929908275,0.2,0.011216299,0.922543503344059,390
-187.19696084337352,1,435,4,1000.0,83968,-7.667547523975372,318.85678543663084,0.13720703125,-0.026302628658595496,0.8674674034118652,0.0003,0.7267163395881653,1.7300850750412793,0.2,0.012858014,0.9703692328184843,400
-176.93640151162793,1,434,4,1000.0,86016,-7.637443059682846,313.7475836311593,0.137548828125,-0.02829447273252299,0.8659273982048035,0.0003,0.5659565925598145,4.004243699181825,0.2,0.013076337,0.9456355683505535,410
-169.12124367045453,1,443,4,1000.0,88064,-7.630265337228775,305.5111400368793,0.15400390625,-0.032188506997772495,0.8647104501724243,0.0003,0.4277874529361725,2.790753437485546,0.2,0.0147313215,0.9580206088721752,420
-167.54040692222222,1,435,4,1000.0,90112,-7.623866847157478,300.30183023835923,0.14248046875,-0.02819389847863931,0.8625068664550781,0.0003,0.6884656548500061,2.4424793551675976,0.2,0.01353549,0.9475114867091179,430
-160.68020547826086,1,418,4,1000.0,92160,-7.616223813593388,294.6845427273436,0.212841796875,-0.03161409161693882,0.8644372820854187,0.0003,0.09897565841674805,0.4350465073948726,0.2,0.01750575,0.9895051829516888,440
-152.17528667021276,1,413,4,1000.0,94208,-7.611921247839928,289.3368846280021,0.14453125,-0.028209247055929153,0.861204981803894,0.0003,1.6035583019256592,2.1799979392439126,0.2,0.013609724,0.9303837642073631,450
-143.70940897916668,1,414,4,1000.0,96256,-7.593300347030163,284.8834357800814,0.159765625,-0.030839605757500978,0.8584915995597839,0.0003,1.4116615056991577,1.6120032432954758,0.2,0.014479924,0.9480728283524513,460
-136.5625281632653,1,417,4,1000.0,98304,-7.561275523900986,280.67037877226466,0.1642578125,-0.029199742457421962,0.852608859539032,0.0003,0.2230069786310196,1.2848515599966048,0.2,0.014723595,0.9679264836013317,470
-126.08790188000003,1,436,4,1000.0,100352,-7.542715308070183,276.44490212044957,0.20107421875,-0.034812784574751274,0.8528647422790527,0.0003,0.4242374300956726,1.0517930545844139,0.2,0.01979607,0.9719223789870739,480
-115.24406078,1,442,4,1000.0,102400,-7.510222533345223,272.4652380764614,0.265771484375,-0.03971022199111758,0.8449546098709106,0.0003,0.1868382692337036,1.016216761060059,0.2,0.024553515,0.9518268592655659,490
-101.12727870999998,1,471,4,1000.0,104448,-7.462866468727588,253.01047561716558,0.255712890625,-0.03682012680510525,0.8388833403587341,0.0003,0.20226696133613586,0.7694820370292291,0.2,0.02183311,0.970666928216815,500
