raw/disc/n_generated,raw/disc/disc_acc_gen,raw/disc/disc_entropy,raw/disc/global_step,raw/disc/disc_proportion_expert_pred,raw/disc/disc_acc,raw/disc/disc_proportion_expert_true,raw/disc/disc_loss,raw/disc/n_expert,raw/disc/disc_acc_expert
1024.0,0.9853515625,0.6892477869987488,5,0.39306640625,0.87841796875,0.5,0.633668839931488,1024.0,0.771484375
1024.0,0.9921875,0.6888524293899536,5,0.3994140625,0.8916015625,0.5,0.6286873817443848,1024.0,0.791015625
1024.0,0.96875,0.6890205144882202,6,0.41552734375,0.88427734375,0.5,0.6315643787384033,1024.0,0.7998046875
1024.0,0.9658203125,0.6883983612060547,6,0.43017578125,0.89599609375,0.5,0.6260572671890259,1024.0,0.826171875
1024.0,0.96484375,0.6877878904342651,6,0.42529296875,0.89013671875,0.5,0.6207226514816284,1024.0,0.8154296875
1024.0,0.9677734375,0.6871162056922913,6,0.43994140625,0.90771484375,0.5,0.6151875853538513,1024.0,0.84765625
1024.0,0.9140625,0.6888099312782288,7,0.45751953125,0.87158203125,0.5,0.6284835934638977,1024.0,0.8291015625
1024.0,0.9384765625,0.687904417514801,7,0.44287109375,0.88134765625,0.5,0.6209028363227844,1024.0,0.82421875
1024.0,0.94921875,0.687263011932373,7,0.4501953125,0.8994140625,0.5,0.6139381527900696,1024.0,0.849609375
1024.0,0.9423828125,0.686708927154541,7,0.44775390625,0.89013671875,0.5,0.6126143932342529,1024.0,0.837890625
1024.0,0.8828125,0.6877277493476868,8,0.48388671875,0.86669921875,0.5,0.6216857433319092,1024.0,0.8505859375
1024.0,0.884765625,0.6871352791786194,8,0.48193359375,0.86669921875,0.5,0.619333803653717,1024.0,0.8486328125
1024.0,0.8935546875,0.6863775849342346,8,0.4775390625,0.87109375,0.5,0.6138128042221069,1024.0,0.8486328125
1024.0,0.9111328125,0.6851130723953247,8,0.47412109375,0.88525390625,0.5,0.6050969958305359,1024.0,0.859375
1024.0,0.8154296875,0.6871031522750854,9,0.5205078125,0.8359375,0.5,0.619059145450592,1024.0,0.8564453125
1024.0,0.8486328125,0.6863715052604675,9,0.50341796875,0.85205078125,0.5,0.6148577332496643,1024.0,0.85546875
1024.0,0.8798828125,0.6855474710464478,9,0.47900390625,0.85888671875,0.5,0.6086969971656799,1024.0,0.837890625
1024.0,0.900390625,0.684075117111206,9,0.47314453125,0.87353515625,0.5,0.599480390548706,1024.0,0.8466796875
1024.0,0.8974609375,0.6845676302909851,10,0.47998046875,0.87744140625,0.5,0.6020160913467407,1024.0,0.857421875
1024.0,0.9208984375,0.6834204196929932,10,0.45556640625,0.87646484375,0.5,0.5967147350311279,1024.0,0.83203125
1024.0,0.9326171875,0.6819895505905151,10,0.447265625,0.8798828125,0.5,0.5893385410308838,1024.0,0.8271484375
1024.0,0.923828125,0.6809511184692383,10,0.4580078125,0.8818359375,0.5,0.5823723077774048,1024.0,0.83984375
1024.0,0.9248046875,0.6805799007415771,11,0.45263671875,0.87744140625,0.5,0.5848323106765747,1024.0,0.830078125
1024.0,0.9609375,0.6791324615478516,11,0.43603515625,0.89697265625,0.5,0.5745455622673035,1024.0,0.8330078125
1024.0,0.97265625,0.6773941516876221,11,0.427734375,0.900390625,0.5,0.5669870972633362,1024.0,0.828125
1024.0,0.970703125,0.676266074180603,11,0.4375,0.908203125,0.5,0.5601948499679565,1024.0,0.845703125
1024.0,0.9736328125,0.6751110553741455,12,0.43408203125,0.90771484375,0.5,0.5562945604324341,1024.0,0.841796875
1024.0,0.974609375,0.6729639768600464,12,0.4326171875,0.9072265625,0.5,0.5486894249916077,1024.0,0.83984375
1024.0,0.9814453125,0.6699668765068054,12,0.4306640625,0.912109375,0.5,0.536468505859375,1024.0,0.8427734375
1024.0,0.9931640625,0.6674284338951111,12,0.4287109375,0.921875,0.5,0.5279465913772583,1024.0,0.8505859375
1024.0,0.970703125,0.6672324538230896,13,0.4404296875,0.9111328125,0.5,0.5295313000679016,1024.0,0.8515625
1024.0,0.9775390625,0.6639094352722168,13,0.44482421875,0.92236328125,0.5,0.5171156525611877,1024.0,0.8671875
